Numéro;État courant;Motif de rejet;Commentaire de l'état;Type de demande de paiement;Type facture;Type de facture de travaux;Cadre de facturation;Date Fournisseur;Date de création;Date de dépôt;Date état courant;Date échéance paiement;Valideur 1 (date de validation);Valideur 2 (date de validation);Fournisseur (type d'identifiant);Fournisseur (identifiant);Fournisseur (désignation);Fournisseur (TVA intracommunautaire);Fournisseur (code service);Fournisseur (service);Destinataire (type d'identifiant);Destinataire (identifiant);Destinataire (désignation);Destinataire (TVA intracommunautaire);Destinataire (code service);Destinataire (service);Mode de dépôt;Mt HT;Mt TTC;Montant à payer;Montant TTC avant remise;Montant remise globale TTC;Motif;Montant TVA;Devise de la facture;Type de TVA;Motif d'éxoneration;Certificat de dépôt n°;Identifiant numérisation;Numéro de la facture d'origine;Numéro DP mandat;Numéro du bon de commande;Numéro de marché;Coordonnées bancaires;BIC ou Swift;Mode de règlement;Document précédent (numéro);Document précédent (type de pièce);Document suivant (numéro);Document suivant (type de pièce);Dossier de facturation;Commentaire;Numéro de lot transmis;Date modification;Telechargée;Emetteur (type d'identifiant);Emetteur (identifiant);Emetteur (désignation);Affactureur (type d'identifiant);Affactureur (identifiant);Affactureur (désignation);Maîtrise d’oeuvre (type d'identifiant);Maîtrise d’oeuvre (identifiant);Maîtrise d’oeuvre (désignation);Maîtrise d’oeuvre (TVA intracommunautaire);Maîtrise d'oeuvre (code service);Maîtrise d’oeuvre (service);Maîtrise d’ouvrage (type d'identifiant);Maîtrise d’ouvrage (identifiant);Maîtrise d’ouvrage (désignation);Maîtrise d’ouvrage (TVA intracommunautaire);Maîtrise d’ouvrage (code service);Maîtrise d’ouvrage (service);Valideur 1 (type d'identifiant);Valideur 1 (identifiant);Valideur 1 (désignation);Valideur 2 (type d'identifiant);Valideur 2 (identifiant);Valideur 2 (désignation);
"0055711808";"Mise en paiement";"";"";"Facture";"Facture";"";"A1: Dépôt par un fournisseur d'une facture";"07/11/2019";"08/11/2019";"08/11/2019";"18/07/2020";"";"";"";"Structure avec N° SIRET";"77605646700587";"UNION DES GROUPEMENTS D'ACHATS PUBLICS";"";"";"";"Structure avec N° SIRET";"52504601700048";"SOCIETE DU GRAND PARIS";"";"";"";"Flux EDI";"41.7";"50.04";"50.04";"50.04";"0";"Remise";"8.34";"Euro européen";"TVA sur les débits";"";"";"";"";"";"CBDC 0016088";"";"FR7610071750000000100004736";"TRPUFRP1";"Virement";"";"";"";"";"";"";"AAA0101100000000000159639";"18/07/2020";"Oui";"Structure avec N° SIRET";"77605646700587";"UNION DES GROUPEMENTS D'ACHATS PUBLICS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"0055895273";"Mise en paiement";"";"";"Facture";"Facture";"";"A1: Dépôt par un fournisseur d'une facture";"16/12/2019";"17/12/2019";"17/12/2019";"23/07/2020";"";"";"";"Structure avec N° SIRET";"77605646700587";"UNION DES GROUPEMENTS D'ACHATS PUBLICS";"";"";"";"Structure avec N° SIRET";"52504601700048";"SOCIETE DU GRAND PARIS";"";"";"";"Flux EDI";"11402";"13682.4";"13682.4";"13682.4";"0";"Remise";"2280.4";"Euro européen";"TVA sur les débits";"";"";"";"";"";"CBDC 12870";"";"FR7610071750000000100004736";"TRPUFRP1";"Virement";"";"";"";"";"";"";"AAA0101100000000000161225";"23/07/2020";"Oui";"Structure avec N° SIRET";"77605646700587";"UNION DES GROUPEMENTS D'ACHATS PUBLICS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"0055924922";"Mise en paiement";"";"";"Facture";"Facture";"";"A1: Dépôt par un fournisseur d'une facture";"23/12/2019";"24/12/2019";"24/12/2019";"18/07/2020";"";"";"";"Structure avec N° SIRET";"77605646700587";"UNION DES GROUPEMENTS D'ACHATS PUBLICS";"";"";"";"Structure avec N° SIRET";"52504601700048";"SOCIETE DU GRAND PARIS";"";"FACTURES_PUBLIQUES";"Service des factures publiques";"Flux EDI";"981.24";"1177.49";"1177.49";"1177.49";"0";"Remise";"196.25";"Euro européen";"TVA sur les débits";"";"";"";"";"";"CBDC 0016304";"";"FR7610071750000000100004736";"TRPUFRP1";"Virement";"";"";"";"";"";"";"AAA0101100000000000161489";"18/07/2020";"Oui";"Structure avec N° SIRET";"77605646700587";"UNION DES GROUPEMENTS D'ACHATS PUBLICS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"3442031304";"Mise en paiement";"";"";"Facture";"Facture";"";"A1: Dépôt par un fournisseur d'une facture";"01/01/2020";"02/01/2020";"02/01/2020";"31/07/2020";"";"";"";"Structure avec N° SIRET";"35293687600072";"THOMSON REUTERS FRANCE";"";"";"";"Structure avec N° SIRET";"52504601700048";"SOCIETE DU GRAND PARIS";"";"";"";"Flux EDI";"18139.8";"21767.76";"21767.76";"21767.76";"0";"";"3627.96";"Euro européen";"TVA sur les débits";"";"";"";"";"";"PO CBDC18548";"";"";"";"Virement";"";"";"";"";"";"Période de Facturation du Wed Jan 01 00:00:00 CET 2020 au Tue Mar 31 00:00:00 CEST 2020";"AAC5761100000000000008127";"31/07/2020";"Oui";"Structure européenne hors France ";"BE0471730202";"UnifiedPost NV";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"0056177791";"Mise en paiement";"";"";"Facture";"Facture";"";"A1: Dépôt par un fournisseur d'une facture";"25/02/2020";"26/02/2020";"26/02/2020";"23/07/2020";"";"";"";"Structure avec N° SIRET";"77605646700587";"UNION DES GROUPEMENTS D'ACHATS PUBLICS";"";"";"";"Structure avec N° SIRET";"52504601700048";"SOCIETE DU GRAND PARIS";"";"FACTURES_PUBLIQUES";"Service des factures publiques";"Flux EDI";"1170";"1404";"1404";"1404";"0";"Remise";"234";"Euro européen";"TVA sur les débits";"";"";"";"";"";"CHMA 0008893";"";"FR7610071750000000100004736";"TRPUFRP1";"Virement";"";"";"";"";"";"";"AAA0101100000000000163521";"23/07/2020";"Oui";"Structure avec N° SIRET";"77605646700587";"UNION DES GROUPEMENTS D'ACHATS PUBLICS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"F2002038";"Mise à disposition du destinataire";"";"";"Facture";"Facture";"";"A1: Dépôt par un fournisseur d'une facture";"29/02/2020";"24/03/2020";"29/06/2020";"29/06/2020";"23/04/2020";"";"";"Structure avec N° SIRET";"50841285500019";"ATOUT SERVICE ENTREPRISES";"";"";"";"Structure avec N° SIRET";"52504601700048";"SOCIETE DU GRAND PARIS";"";"";"";"Dépôt portail PDF non signé";"233.33";"280";"280";"280";"";"";"46.67";"Euro européen";"TVA sur les encaissements";"";"KKTtKzvozq0uTN79fcVzCPE7gJjQqoBgYgollSY45QE=";"";"";"";"CHMP700";"";"";"";"Virement";"";"";"";"";"";"";"";"29/06/2020";"Oui";"Structure avec N° SIRET";"50841285500019";"ATOUT SERVICE ENTREPRISES";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"F2001040";"Mise à disposition du destinataire";"";"";"Facture";"Facture";"";"A1: Dépôt par un fournisseur d'une facture";"31/01/2020";"24/03/2020";"29/06/2020";"29/06/2020";"23/04/2020";"";"";"Structure avec N° SIRET";"50841285500019";"ATOUT SERVICE ENTREPRISES";"";"";"";"Structure avec N° SIRET";"52504601700048";"SOCIETE DU GRAND PARIS";"";"";"";"Dépôt portail PDF non signé";"233.33";"280";"280";"280";"";"";"46.67";"Euro européen";"TVA sur les encaissements";"";"qoCi398vWfzwJzq53fJ7vdnWAZCYDEi0MRucnOLi0pc=";"";"";"";"CHMP699";"";"";"";"Virement";"";"";"";"";"";"";"";"29/06/2020";"Oui";"Structure avec N° SIRET";"50841285500019";"ATOUT SERVICE ENTREPRISES";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"0056362182";"Mise en paiement";"";"";"Facture";"Facture";"";"A1: Dépôt par un fournisseur d'une facture";"16/04/2020";"17/04/2020";"17/04/2020";"05/08/2020";"";"";"";"Structure avec N° SIRET";"77605646700587";"UNION DES GROUPEMENTS D'ACHATS PUBLICS";"";"";"";"Structure avec N° SIRET";"52504601700048";"SOCIETE DU GRAND PARIS";"";"";"";"Flux EDI";"3719.7";"4463.64";"4463.64";"4463.64";"0";"Remise";"743.94";"Euro européen";"TVA sur les débits";"";"";"";"";"";"12870";"";"FR7610071750000000100004736";"TRPUFRP1";"Virement";"";"";"";"";"";"";"AAA0101100000000000165152";"05/08/2020";"Oui";"Structure avec N° SIRET";"77605646700587";"UNION DES GROUPEMENTS D'ACHATS PUBLICS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"3442033858";"Mise en paiement";"";"";"Facture";"Facture";"";"A1: Dépôt par un fournisseur d'une facture";"04/05/2020";"05/05/2020";"05/05/2020";"15/08/2020";"";"";"";"Structure avec N° SIRET";"35293687600072";"REFINITIV FRANCE SAS";"";"";"";"Structure avec N° SIRET";"52504601700048";"SOCIETE DU GRAND PARIS";"";"";"";"Flux EDI";"1512";"1814.4";"1814.4";"1814.4";"0";"";"302.4";"Euro européen";"TVA sur les débits";"";"";"";"";"";"PO CBDC18548";"";"";"";"Virement";"";"";"";"";"";"Période de Facturation du Sun Dec 01 00:00:00 CET 2019 au Sun Dec 01 00:00:00 CET 2019";"AAC5761100000000000009180";"15/08/2020";"Oui";"Structure européenne hors France ";"BE0471730202";"UnifiedPost NV";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"0056438088";"Mise en paiement";"";"";"Facture";"Facture";"";"A1: Dépôt par un fournisseur d'une facture";"12/05/2020";"13/05/2020";"13/05/2020";"31/07/2020";"";"";"";"Structure avec N° SIRET";"77605646700587";"UNION DES GROUPEMENTS D'ACHATS PUBLICS";"";"";"";"Structure avec N° SIRET";"52504601700048";"SOCIETE DU GRAND PARIS";"";"";"";"Flux EDI";"34.77";"41.72";"41.72";"42.25";"0.53";"Remise";"6.95";"Euro européen";"TVA sur les débits";"";"";"";"";"";"CBDC 0018101";"";"FR7610071750000000100004736";"TRPUFRP1";"Virement";"";"";"";"";"";"";"AAA0101100000000000165831";"31/07/2020";"Oui";"Structure avec N° SIRET";"77605646700587";"UNION DES GROUPEMENTS D'ACHATS PUBLICS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"0056443394";"Mise en paiement";"";"";"Facture";"Facture";"";"A1: Dépôt par un fournisseur d'une facture";"14/05/2020";"15/05/2020";"15/05/2020";"31/07/2020";"";"";"";"Structure avec N° SIRET";"77605646700587";"UNION DES GROUPEMENTS D'ACHATS PUBLICS";"";"";"";"Structure avec N° SIRET";"52504601700048";"SOCIETE DU GRAND PARIS";"";"";"";"Flux EDI";"178.85";"196.74";"196.74";"196.74";"0";"Remise";"17.89";"Euro européen";"TVA sur les débits";"";"";"";"";"";"CBDC 0018101";"";"FR7610071750000000100004736";"TRPUFRP1";"Virement";"";"";"";"";"";"";"AAA0101100000000000165883";"31/07/2020";"Oui";"Structure avec N° SIRET";"77605646700587";"UNION DES GROUPEMENTS D'ACHATS PUBLICS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"0056466214";"Mise en paiement";"";"";"Facture";"Facture";"";"A1: Dépôt par un fournisseur d'une facture";"26/05/2020";"27/05/2020";"27/05/2020";"09/07/2020";"";"";"";"Structure avec N° SIRET";"77605646700587";"UNION DES GROUPEMENTS D'ACHATS PUBLICS";"";"";"";"Structure avec N° SIRET";"52504601700048";"SOCIETE DU GRAND PARIS";"";"";"";"Flux EDI";"112128.5";"134554.2";"134554.2";"134554.2";"0";"Remise";"22425.7";"Euro européen";"TVA sur les débits";"";"";"";"";"";"CHMA0008977";"";"FR7610071750000000100004736";"TRPUFRP1";"Virement";"";"";"";"";"";"";"AAA0101100000000000166088";"09/07/2020";"Oui";"Structure avec N° SIRET";"77605646700587";"UNION DES GROUPEMENTS D'ACHATS PUBLICS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"0056475523";"Mise en paiement";"";"";"Facture";"Facture";"";"A1: Dépôt par un fournisseur d'une facture";"27/05/2020";"28/05/2020";"28/05/2020";"09/10/2020";"";"";"";"Structure avec N° SIRET";"77605646700587";"UNION DES GROUPEMENTS D'ACHATS PUBLICS";"";"";"";"Structure avec N° SIRET";"52504601700048";"SOCIETE DU GRAND PARIS";"";"";"";"Flux EDI";"2004.66";"2405.59";"2405.59";"2405.59";"0";"Remise";"400.93";"Euro européen";"TVA sur les débits";"";"";"";"";"";"CBDC 0017705";"";"FR7610071750000000100004736";"TRPUFRP1";"Virement";"";"";"";"";"";"";"AAA0101100000000000166188";"09/10/2020";"Oui";"Structure avec N° SIRET";"77605646700587";"UNION DES GROUPEMENTS D'ACHATS PUBLICS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"FAC2005SP0005";"Mise en paiement";"";"";"Facture";"Facture";"";"A1: Dépôt par un fournisseur d'une facture";"01/05/2020";"03/06/2020";"24/07/2020";"16/10/2020";"03/07/2020";"";"";"Structure avec N° SIRET";"50058553400018";"SCI SPN ENTREPOTS";"";"";"";"Structure avec N° SIRET";"52504601700048";"SOCIETE DU GRAND PARIS";"";"";"";"Dépôt portail PDF non signé";"4602";"5522.4";"5522.4";"5522.4";"";"";"920.4";"Euro européen";"TVA sur les encaissements";"";"H1j3LtR/rmGLcnvAUjfRq5UcnT+lUAAI7kOGYCOG72s=";"";"";"";"CCVT1962";"";"";"";"Virement";"";"";"";"";"";"";"";"16/10/2020";"Oui";"Structure avec N° SIRET";"50058553400018";"SCI SPN ENTREPOTS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"0056521547";"Mise en paiement";"";"";"Facture";"Facture";"";"A1: Dépôt par un fournisseur d'une facture";"09/06/2020";"10/06/2020";"10/06/2020";"23/07/2020";"";"";"";"Structure avec N° SIRET";"77605646700587";"UNION DES GROUPEMENTS D'ACHATS PUBLICS";"";"";"";"Structure avec N° SIRET";"52504601700048";"SOCIETE DU GRAND PARIS";"";"";"";"Flux EDI";"5729.5";"6875.4";"6875.4";"6875.4";"0";"Remise";"1145.9";"Euro européen";"TVA sur les débits";"";"";"";"";"";"CBDC 0018137";"";"FR7610071750000000100004736";"TRPUFRP1";"Virement";"";"";"";"";"";"";"AAA0101100000000000166582";"23/07/2020";"Oui";"Structure avec N° SIRET";"77605646700587";"UNION DES GROUPEMENTS D'ACHATS PUBLICS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"0056547167";"Mise en paiement";"";"";"Facture";"Facture";"";"A1: Dépôt par un fournisseur d'une facture";"16/06/2020";"17/06/2020";"17/06/2020";"05/08/2020";"";"";"";"Structure avec N° SIRET";"77605646700587";"UNION DES GROUPEMENTS D'ACHATS PUBLICS";"";"";"";"Structure avec N° SIRET";"52504601700048";"SOCIETE DU GRAND PARIS";"";"";"";"Flux EDI";"29.63";"35.56";"35.56";"35.56";"0";"Remise";"5.93";"Euro européen";"TVA sur les débits";"";"";"";"";"";"CBDC 0018117";"";"FR7610071750000000100004736";"TRPUFRP1";"Virement";"";"";"";"";"";"";"AAA0101100000000000166814";"05/08/2020";"Oui";"Structure avec N° SIRET";"77605646700587";"UNION DES GROUPEMENTS D'ACHATS PUBLICS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"0056547168";"Mise en paiement";"";"";"Facture";"Facture";"";"A1: Dépôt par un fournisseur d'une facture";"16/06/2020";"17/06/2020";"17/06/2020";"28/07/2020";"";"";"";"Structure avec N° SIRET";"77605646700587";"UNION DES GROUPEMENTS D'ACHATS PUBLICS";"";"";"";"Structure avec N° SIRET";"52504601700048";"SOCIETE DU GRAND PARIS";"";"";"";"Flux EDI";"242.6";"291.12";"291.12";"291.12";"0";"Remise";"48.52";"Euro européen";"TVA sur les débits";"";"";"";"";"";"CBDC 0018117";"";"FR7610071750000000100004736";"TRPUFRP1";"Virement";"";"";"";"";"";"";"AAA0101100000000000166814";"28/07/2020";"Oui";"Structure avec N° SIRET";"77605646700587";"UNION DES GROUPEMENTS D'ACHATS PUBLICS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"0520P12";"Mise à disposition du destinataire";"";"";"Facture";"Facture";"";"A1: Dépôt par un fournisseur d'une facture";"28/05/2020";"18/06/2020";"18/06/2020";"18/06/2020";"18/07/2020";"";"";"Structure avec N° SIRET";"32418130400027";"TOURISME CARS DE LUXE";"FR02324181304";"";"";"Structure avec N° SIRET";"52504601700048";"SOCIETE DU GRAND PARIS";"";"";"";"Dépôt portail PDF non signé";"483.4";"535.44";"535.44";"535.44";"";"";"52.04";"Euro européen";"TVA sur les encaissements";"";"3c97XNBE+ehMHqIZqCbdG+imkO1WUsCiVfK178qOjXY=";"";"";"";"CDBC 18429";"2017MAPA025L02";"";"";"Virement";"";"";"";"";"";"";"";"22/06/2020";"Oui";"Structure avec N° SIRET";"32418130400027";"TOURISME CARS DE LUXE";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"F20CH102";"Mise à disposition du destinataire";"";"";"Facture";"Facture";"";"A1: Dépôt par un fournisseur d'une facture";"19/05/2020";"18/06/2020";"18/06/2020";"18/06/2020";"18/07/2020";"";"";"Structure avec N° SIRET";"50375317000011";"LABO CONTROLES ETUDES RECH INFRAST";"FR07503753170";"";"";"Structure avec N° SIRET";"52504601700048";"SOCIETE DU GRAND PARIS";"";"";"";"Dépôt portail PDF non signé";"233";"279.6";"279.6";"279.6";"";"";"46.6";"Euro européen";"TVA sur les encaissements";"";"a1OQF6Xc5IAs/8gB+3XqzvTbMg7PijVQccgsiOYjFEA=";"";"";"";"commande 1";"2018PN036";"FR11899001150002001654517";"";"Virement";"";"";"";"";"";"";"";"22/06/2020";"Oui";"Structure avec N° SIRET";"50375317000011";"LABO CONTROLES ETUDES RECH INFRAST";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"F20CH103";"Mise à disposition du destinataire";"";"";"Facture";"Facture";"";"A1: Dépôt par un fournisseur d'une facture";"19/05/2020";"18/06/2020";"18/06/2020";"18/06/2020";"18/07/2020";"";"";"Structure avec N° SIRET";"50375317000011";"LABO CONTROLES ETUDES RECH INFRAST";"FR07503753170";"";"";"Structure avec N° SIRET";"52504601700048";"SOCIETE DU GRAND PARIS";"";"";"";"Dépôt portail PDF non signé";"5891";"7069.2";"7069.2";"7069.2";"";"";"1178.2";"Euro européen";"TVA sur les encaissements";"";"GFyjK3IuHHloZVf7b8eybzNL5h1gAgFvDVI5ran62ck=";"";"";"";"commande 1";"2018PN036";"";"";"Virement";"";"";"";"";"";"";"";"05/08/2020";"Oui";"Structure avec N° SIRET";"50375317000011";"LABO CONTROLES ETUDES RECH INFRAST";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"103035543";"Mise à disposition du destinataire";"";"";"Facture";"Facture";"";"A1: Dépôt par un fournisseur d'une facture";"28/05/2020";"18/06/2020";"18/06/2020";"18/06/2020";"18/07/2020";"";"";"Structure avec N° SIRET";"38347093700194";"THALES SIX GTS FRANCE SAS";"";"";"";"Structure avec N° SIRET";"52504601700048";"SOCIETE DU GRAND PARIS";"";"";"";"Dépôt portail PDF non signé";"74624.7";"89549.64";"89549.64";"89549.64";"";"";"14924.94";"Euro européen";"TVA sur les encaissements";"";"6KhPa6WO2/AADsLeHieY/zYWWWw9zYeDHJ60uHDhhR8=";"";"";"";"CENG 1012";"2015PN041";"FR30066109720001051250107";"";"Virement";"";"";"";"";"";"";"";"22/06/2020";"Oui";"Structure avec N° SIRET";"38347093700194";"THALES SIX GTS FRANCE SAS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"101013351";"Mise à disposition du destinataire";"";"";"Facture";"Facture";"";"A1: Dépôt par un fournisseur d'une facture";"28/05/2020";"18/06/2020";"18/06/2020";"18/06/2020";"18/07/2020";"";"";"Structure avec N° SIRET";"38347093700194";"THALES SIX GTS FRANCE SAS";"";"";"";"Structure avec N° SIRET";"52504601700048";"SOCIETE DU GRAND PARIS";"";"";"";"Dépôt portail PDF non signé";"111838.42";"134206.1";"134206.1";"134206.1";"";"";"22367.68";"Euro européen";"TVA sur les encaissements";"";"K1jikh54ZqjgXr1mKOBQd6aEfCUUc3sLHTUVU/Yvhnc=";"";"";"";"CENG 1012";"2015PN041";"FR30066109720001051250107";"";"Virement";"";"";"";"";"";"";"";"22/06/2020";"Oui";"Structure avec N° SIRET";"38347093700194";"THALES SIX GTS FRANCE SAS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"101013366";"Mise à disposition du destinataire";"";"";"Facture";"Facture";"";"A1: Dépôt par un fournisseur d'une facture";"28/05/2020";"18/06/2020";"18/06/2020";"18/06/2020";"18/07/2020";"";"";"Structure avec N° SIRET";"38347093700194";"THALES SIX GTS FRANCE SAS";"";"";"";"Structure avec N° SIRET";"52504601700048";"SOCIETE DU GRAND PARIS";"";"";"";"Dépôt portail PDF non signé";"397877.85";"477453.42";"477453.42";"477453.42";"";"";"79575.57";"Euro européen";"TVA sur les encaissements";"";"weZXTOfHN5WcU++3jeCTRZ5quOfIXqxRELvgVcpEYcY=";"";"";"";"CENG 1012";"2015PN041";"FR30066109720001051250107";"";"Virement";"";"";"";"";"";"";"";"22/06/2020";"Oui";"Structure avec N° SIRET";"38347093700194";"THALES SIX GTS FRANCE SAS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"103035864";"Mise à disposition du destinataire";"";"";"Facture";"Facture";"";"A1: Dépôt par un fournisseur d'une facture";"28/05/2020";"18/06/2020";"18/06/2020";"18/06/2020";"18/07/2020";"";"";"Structure avec N° SIRET";"38347093700194";"THALES SIX GTS FRANCE SAS";"";"";"";"Structure avec N° SIRET";"52504601700048";"SOCIETE DU GRAND PARIS";"";"";"";"Dépôt portail PDF non signé";"74624.7";"89549.64";"89549.64";"89549.64";"";"";"14924.94";"Euro européen";"TVA sur les encaissements";"";"MEdauFekZ9KScEMvxBK932cbOikM70I5AY5RNiftvxc=";"";"";"";"CENG 1012";"2015PN041";"";"";"Virement";"";"";"";"";"";"";"";"22/06/2020";"Oui";"Structure avec N° SIRET";"38347093700194";"THALES SIX GTS FRANCE SAS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"101013413";"Mise à disposition du destinataire";"";"";"Facture";"Facture";"";"A1: Dépôt par un fournisseur d'une facture";"18/06/2020";"18/06/2020";"03/07/2020";"03/07/2020";"18/07/2020";"";"";"Structure avec N° SIRET";"38347093700194";"THALES SIX GTS FRANCE SAS";"";"";"";"Structure avec N° SIRET";"52504601700048";"SOCIETE DU GRAND PARIS";"";"";"";"Dépôt portail PDF non signé";"121503.48";"145804.18";"145804.18";"145804.18";"";"";"24300.7";"Euro européen";"TVA sur les encaissements";"";"9oNNBpU6Er/Qk+0M/I436b+FyNe9vAMCqzbixh7QVlM=";"";"";"";"CENG 1012";"2015PN041";"FR30066109720001051250107";"";"Virement";"";"";"";"";"";"";"";"03/07/2020";"Oui";"Structure avec N° SIRET";"38347093700194";"THALES SIX GTS FRANCE SAS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"103035607";"Mise à disposition du destinataire";"";"";"Facture";"Facture";"";"A1: Dépôt par un fournisseur d'une facture";"29/05/2020";"18/06/2020";"18/06/2020";"18/06/2020";"18/07/2020";"";"";"Structure avec N° SIRET";"38347093700194";"THALES SIX GTS FRANCE SAS";"";"";"";"Structure avec N° SIRET";"52504601700048";"SOCIETE DU GRAND PARIS";"";"";"";"Dépôt portail PDF non signé";"43141.58";"51769.9";"51769.9";"51769.9";"";"";"8628.32";"Euro européen";"TVA sur les encaissements";"";"c32PeC+9B4ZjJ5UCAC7SOznvMNydzJCsINrAarDr7wc=";"";"";"";"CENG 1012";"2015PN041";"FR30066109720001051250107";"";"Virement";"";"";"";"";"";"";"";"22/06/2020";"Oui";"Structure avec N° SIRET";"38347093700194";"THALES SIX GTS FRANCE SAS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"101013367";"Mise à disposition du destinataire";"";"";"Facture";"Facture";"";"A1: Dépôt par un fournisseur d'une facture";"29/05/2020";"18/06/2020";"18/06/2020";"18/06/2020";"18/07/2020";"";"";"Structure avec N° SIRET";"38347093700194";"THALES SIX GTS FRANCE SAS";"";"";"";"Structure avec N° SIRET";"52504601700048";"SOCIETE DU GRAND PARIS";"";"";"";"Dépôt portail PDF non signé";"466395.47";"559674.56";"559674.56";"559674.56";"";"";"93279.09";"Euro européen";"TVA sur les encaissements";"";"10O7m3QjvNAnkI2i1UYz1U4ZQryMtXYIJPqj7mBNOks=";"";"";"";"CENG 1012";"2015PN041";"";"";"Virement";"";"";"";"";"";"";"";"22/06/2020";"Oui";"Structure avec N° SIRET";"38347093700194";"THALES SIX GTS FRANCE SAS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"124838687";"Rejetée";"";"Bonjour, nous avons déjà cette facture dans notre base. Cordialement";"Facture";"Facture";"";"A1: Dépôt par un fournisseur d'une facture";"19/06/2020";"22/06/2020";"22/06/2020";"25/06/2020";"";"";"";"Structure avec N° SIRET";"59205230201860";"KONE";"FR06592052302";"";"";"Structure avec N° SIRET";"52504601700048";"SOCIETE DU GRAND PARIS";"";"";"";"Flux EDI";"1463.08";"1755.7";"1755.7";"1755.7";"0";"";"292.62";"Euro européen";"TVA sur les débits";"";"";"";"";"";"CCVT0001797";"";"FR7630004006420002599948257";"BNPAFRPPXXX";"Virement";"";"";"";"";"";"";"AAA0421100000000005102922";"25/06/2020";"Oui";"Structure avec N° SIRET";"35042262200125";"CEGEDIM";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"061062557";"Mise à disposition du destinataire";"";"";"Facture";"Facture";"";"A1: Dépôt par un fournisseur d'une facture";"31/05/2020";"22/06/2020";"22/06/2020";"22/06/2020";"22/07/2020";"";"";"Structure avec N° SIRET";"42995529712359";"MANPOWER FRANCE";"";"";"";"Structure avec N° SIRET";"52504601700048";"SOCIETE DU GRAND PARIS";"";"";"";"Dépôt portail PDF non signé";"5789.18";"6947.02";"6947.02";"6947.02";"";"";"1157.84";"Euro européen";"TVA sur les encaissements";"";"rO7JbgS4EEX2dm2VfxdeN1W7K5mNxIxDTpWz29z/beo=";"";"";"";"CBDC 0014539";"";"";"";"Virement";"";"";"";"";"";"";"";"22/06/2020";"Oui";"Structure avec N° SIRET";"42995529712359";"MANPOWER FRANCE";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
